id,locality,locality_aka,state,country,iso3,continent,lat,lon,gmp,population_locality,population_country,traffic_mortality,literacy_rate,avg_height,med_age,gini,traffic_index,videos,time_of_day,start_time,end_time,vehicle_type,upload_date,channel
81,Mianyang,[],,China,CHN,Asia,31.462734,104.746343,17794.782,1550000,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[1PLGBTgF_jM],[[0]],[[57]],[[4764]],[0],[1032024],[UCjfciUxB1yhhP_OlZ3CD44g]
82,Xiamen,[],,China,CHN,Asia,24.4703348,118.1110988,92.557,4617251,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[GZZUDsUulZw],[[1]],[[88]],[[4784]],[0],[15022024],[UCjfciUxB1yhhP_OlZ3CD44g]
83,Huai'an,[Huaiyin],,China,CHN,Asia,33.552478,119.107577,58.361,2494013,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[bphPeweI7Rg],[[0]],[[52]],[[3806]],[0],[14022024],[UCjfciUxB1yhhP_OlZ3CD44g]
88,Hangzhou,[],,China,CHN,Asia,30.248963,120.205234,279.0,9236032,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,"[22Hm1__gM6Q,RFjYS72T2Tc,hNLU0BVCg0w,sWs1VFEbeJE,f8O-hoLyILU,4qxjgtSEgrU]","[[0],[0],[1],[1],[0],[0]]","[[0],[0],[0],[0],[0],[0]]","[[1012],[919],[1094],[1124],[3210],[1350]]","[0,0,0,0,0,0]","[2022022,28012022,18012022,13012022,11062022,26052022]","[UCbn3IVjnCAxzqJdIZ1td8zg,UCbn3IVjnCAxzqJdIZ1td8zg,UCbn3IVjnCAxzqJdIZ1td8zg,UCbn3IVjnCAxzqJdIZ1td8zg,UCXMmrSoWdd257p5sC8hXPCQ,UCXMmrSoWdd257p5sC8hXPCQ]"
89,Chengdu,[],,China,CHN,Asia,30.66242,104.063322,17794.782,13568357,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,"[dHSdG4LmB3U,VEJZT2jG22I,hW6UqDmELJg,libdl0UA8vg,OEemrFzW-eQ,mx7RHDkNe44,BjXHv_RnphQ]","[[0],[0],[0],[0],[0],[0],[0]]","[[8],[8],[45],[9],[25],[34],[66]]","[[3545],[925],[2513],[2103],[2373],[2284],[3502]]","[0,0,0,0,0,0,0]","[7022021,28052021,19072025,2062025,29052025,26032026,16032026]","[UCRXURb5p1oNSVuRD-4p5oEw,UCRXURb5p1oNSVuRD-4p5oEw,UCsJL5cjERcGVdqJ5Dr9quog,UCsJL5cjERcGVdqJ5Dr9quog,UCsJL5cjERcGVdqJ5Dr9quog,UC90ptpEteW0wLAWYAYVfu4Q,UC90ptpEteW0wLAWYAYVfu4Q]"
90,Zibo,[],,China,CHN,Asia,36.7603296,118.0543192,53.26,3129228,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[FZpWNwWtPpk],[[0]],[[48]],[[3391]],[0],[1012024],[UCjfciUxB1yhhP_OlZ3CD44g]
91,Fushun,[],,China,CHN,Asia,41.869297,123.924157,17794.782,1400646,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[HkvdYOWtooU],[[0]],[[36]],[[3201]],[0],[26122023],[UCjfciUxB1yhhP_OlZ3CD44g]
92,Jilin City,[],,China,CHN,Asia,43.835804,126.543491,17794.782,1895865,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[g07YfCOXmCE],[[0]],[[47]],[[4154]],[0],[18122023],[UCjfciUxB1yhhP_OlZ3CD44g]
93,Harbin,[],,China,CHN,Asia,45.7600422,126.6254465,94.1,5242897,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[BvL1Hf2gD-g],[[0]],[[70]],[[7963]],[0],[2122023],[UCjfciUxB1yhhP_OlZ3CD44g]
94,Shenyang,[],,China,CHN,Asia,41.80261,123.42791,95.276,7050000,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[jiA4PDQsSAo],[[0]],[[67]],[[9338]],[0],[5122023],[UCjfciUxB1yhhP_OlZ3CD44g]
95,Tonghua,[],,China,CHN,Asia,41.722554,125.917046,17794.782,510000,1408975000.0,17.4,98.379997253418,169.562502,39.8,36.0,146.7,[m-C0tPbyT7Q],[[0]],[[58]],[[2906]],[0],[22112023],[UCjfciUxB1yhhP_OlZ3CD44g]
