id,locality,locality_aka,state,country,iso3,videos,start_time,end_time,vehicle_type,upload_date,channel,time_of_day
8003,Spijkenisse,[],,Netherlands,NLD,[4FQMywlca34],"[[0],[0]]","[[495],[512]]","[0,0]","[26032025,21032025]","[UCSXSCzMyK5RZ9j1HbO9Fubg,UCSXSCzMyK5RZ9j1HbO9Fubg]","[[0],[0]]"
8004,Brielle,[],,Netherlands,NLD,[v6E31LtNRxI],[[1963]],[[2152]],[0],[13032025],[UCSXSCzMyK5RZ9j1HbO9Fubg],[[0]]
8007,Leon,[León],,Nicaragua,NIC,[mqSHE1vOiFY],"[[7219],[47]]","[[7654],[778]]","[0,0]","[20042024,23042024]","[UCSMCv9FDp2R9_p1e0k61KwQ,UCSMCv9FDp2R9_p1e0k61KwQ]","[[1],[0]]"
8008,Chinandega,[],,Nicaragua,NIC,"[mqSHE1vOiFY,MPPf1LViDyo]","[[3535,3826],[37,513]]","[[3762,5053],[488,1308]]","[0,0]","[23042024,26042024]","[UCSMCv9FDp2R9_p1e0k61KwQ,UCSMCv9FDp2R9_p1e0k61KwQ]","[[0,0],[0,0]]"
8009,Esteli,"[Estelí,Villa de San Antonio de Pavia de Estelí]",,Nicaragua,NIC,[MPPf1LViDyo],"[[12832,15068],[64]]","[[14783,15523],[553]]","[0,0]","[26042024,26042024]","[UCSMCv9FDp2R9_p1e0k61KwQ,UCSMCv9FDp2R9_p1e0k61KwQ]","[[0,0],[0]]"
8010,Somoto,[],,Nicaragua,NIC,[ZpCkKvekTCs],"[[49,483]]","[[360,656]]",[0],[28042024],[UCSMCv9FDp2R9_p1e0k61KwQ],"[[0,0]]"
8011,Choluteca,[],,Honduras,HND,[ZpCkKvekTCs],"[[10385],[39,1310]]","[[10757],[1298,1689]]","[0,0]","[28042024,1052024]","[UCSMCv9FDp2R9_p1e0k61KwQ,UCSMCv9FDp2R9_p1e0k61KwQ]","[[0],[0,0]]"
8013,Port Elizabeth,[Gqeberha],,South Africa,ZAF,[0zTCt1pbDC4],[[0]],[[542]],[0],[17122025],[UC2A0NmNFtT7IVH1Z9IxYEdw],[[0]]
8014,Ureki,[],,Georgia,GEO,[hM5c9tCPWCI],[[10]],[[724]],[0],[3122025],[UC2A0NmNFtT7IVH1Z9IxYEdw],[[0]]
8015,Kobuleti,[],,Georgia,GEO,[hM5c9tCPWCI],[[1431]],[[2989]],[0],[3122025],[UC2A0NmNFtT7IVH1Z9IxYEdw],[[0]]
8016,Pushkino,[],,Russia,RUS,[43_M0uGDUBM],"[[7,1736]]","[[1705,2914]]",[0],[25022025],[UCeX8IcQGXzKzUx0JKye7RiA],"[[0,0]]"
8017,Rionegro,[],,Colombia,COL,[MIUKOokidds],[[0]],[[869]],[0],[22082025],[UCiBD9WJFDe7dGQNa_KRdHug],[[0]]
8018,San Jerónimo,[San Jeronimo],,Colombia,COL,[4cTaR4-2QeU],[[0]],[[272]],[3],[2052022],[UCiBD9WJFDe7dGQNa_KRdHug],[[0]]
8019,Santa Elena,[],,Colombia,COL,[BRUmpGDU1oU],[[1766]],[[2118]],[3],[6052023],[UCiBD9WJFDe7dGQNa_KRdHug],[[0]]
8020,Edgewood,[],MD,United States,USA,[W5PERaQfzo4],[[10]],[[524]],[0],[7062026],[UCvXkpzL0ObfACNs_Wv7u4CQ],[[0]]
