id_1,locality_1,country_1,lat_1,lon_1,id_2,locality_2,country_2,lat_2,lon_2,distance_km
2116,Hira,New Zealand,-41.2129625,173.3967573,2117,Wakapuaka,New Zealand,-41.2184078,173.3968963,0.606
2287,Yamanashi,Japan,35.6399328,138.6380495,2752,Fuefuki,Japan,35.6472876,138.6396674,0.831
2317,Villefranche-sur-Mer,France,43.7042317,7.309969,2318,Beaulieu-sur-Mer,France,43.7088,7.33375,1.978
2343,Secenans,France,47.5529964,6.5746668,2344,Crevans,France,47.5519817,6.5837961,0.694
2357,Ventimiglia,Italy,43.7917623,7.6033131,4235,Vintimille,Italy,43.7917623,7.6033131,0.0
2379,Prangins,Switzerland,46.3947976,6.2487871,2380,Nyon,Switzerland,46.3820585,6.2402791,1.56
2383,Bogis-Bossey,Switzerland,46.3515732,6.1648147,2384,Chavannes-de-Bogis,Switzerland,46.3446425,6.1625796,0.79
2385,Commugny,Switzerland,46.3182308,6.1757684,2386,Tannay,Switzerland,46.3089604,6.1757001,1.031
2385,Commugny,Switzerland,46.3182308,6.1757684,2387,Mies,Switzerland,46.3060321,6.1723029,1.382
2385,Commugny,Switzerland,46.3182308,6.1757684,5942,Coppet,Switzerland,46.3164464,6.1927752,1.321
2386,Tannay,Switzerland,46.3089604,6.1757001,2387,Mies,Switzerland,46.3060321,6.1723029,0.417
2386,Tannay,Switzerland,46.3089604,6.1757001,5942,Coppet,Switzerland,46.3164464,6.1927752,1.553
2387,Mies,Switzerland,46.3060321,6.1723029,5942,Coppet,Switzerland,46.3164464,6.1927752,1.953
2390,Rivaz,Switzerland,46.4762772,6.7786403,2391,Saint-Saphorin,Switzerland,46.4731819,6.7959554,1.37
2390,Rivaz,Switzerland,46.4762772,6.7786403,2931,Chexbres,Switzerland,46.4809505,6.7803021,0.535
2391,Saint-Saphorin,Switzerland,46.4731819,6.7959554,2931,Chexbres,Switzerland,46.4809505,6.7803021,1.477
2392,Corseaux,Switzerland,46.4722747,6.8320071,2393,Vevey,Switzerland,46.4602978,6.8418655,1.531
2393,Vevey,Switzerland,46.4602978,6.8418655,2394,La Tour-de-Peilz,Switzerland,46.4537524,6.8569063,1.363
2479,Overpelt,Belgium,51.2156208,5.4241897,4882,Pelt,Belgium,51.2197672,5.4299496,0.611
2487,Stetten,Germany,47.690815,9.297425,2488,Meersburg,Germany,47.6955538,9.2719656,1.977
2504,Albeuve,Switzerland,46.5173976,7.0566535,2505,Neirivue,Switzerland,46.5260458,7.0595639,0.987
2585,Ehnen,Luxembourg,49.6020397,6.3866958,2586,Wormeldange,Luxembourg,49.6120221,6.4059607,1.777
2646,Toyako,Japan,42.5513253,140.7642723,2872,Toya,Japan,42.5508898,140.7634991,0.08
